USA,Database,Name,Accession,Type,Length,GC,CAI,Organism,Description
fasta::barcode01.ffn:bc01_00001,-,bc01_00001,-,N,1329,65.61,0.746,,Chromosomal replication initiator protein DnaA
fasta::barcode01.ffn:bc01_00002,-,bc01_00002,-,N,1101,64.03,0.682,,Beta sliding clamp
fasta::barcode01.ffn:bc01_00003,-,bc01_00003,-,N,1107,66.4,0.589,,DNA replication and repair protein RecF
fasta::barcode01.ffn:bc01_00004,-,bc01_00004,-,N,2445,64.99,0.797,,DNA gyrase subunit B
fasta::barcode01.ffn:bc01_00005,-,bc01_00005,-,N,825,68,0.68,,Type II CAAX prenyl endopeptidase Rce1-like protein
fasta::barcode01.ffn:bc01_00006,-,bc01_00006,-,N,807,65.55,0.629,,Beta-barrel assembly-enhancing protease
fasta::barcode01.ffn:bc01_00007,-,bc01_00007,-,N,1197,62.24,0.78,,Tetratricopeptide repeat protein
fasta::barcode01.ffn:bc01_00008,-,bc01_00008,-,N,672,63.84,0.567,,hypothetical protein
fasta::barcode01.ffn:bc01_00009,-,bc01_00009,-,N,762,64.3,0.69,,Tol-Pal system protein TolQ
fasta::barcode01.ffn:bc01_00010,-,bc01_00010,-,N,423,60.28,0.691,,Biopolymer transport protein ExbD
fasta::barcode01.ffn:bc01_00011,-,bc01_00011,-,N,378,60.85,0.787,,Biopolymer transport protein ExbD
fasta::barcode01.ffn:bc01_00012,-,bc01_00012,-,N,411,62.77,0.606,,Biopolymer transport protein ExbD
fasta::barcode01.ffn:bc01_00013,-,bc01_00013,-,N,771,68.09,0.673,,pyridoxine 5'-phosphate synthase 
fasta::barcode01.ffn:bc01_00014,-,bc01_00014,-,N,270,68.15,0.734,,hypothetical protein
fasta::barcode01.ffn:bc01_00015,-,bc01_00015,-,N,1461,66.67,0.719,,Major cardiolipin synthase ClsA
fasta::barcode01.ffn:bc01_00016,-,bc01_00016,-,N,1095,68.58,0.72,,Radical SAM superfamily protein
fasta::barcode01.ffn:bc01_00017,-,bc01_00017,-,N,714,65.97,0.76,,hypothetical protein
fasta::barcode01.ffn:bc01_00018,-,bc01_00018,-,N,1341,66.96,0.837,,Putative outer membrane protein
fasta::barcode01.ffn:bc01_00019,-,bc01_00019,-,N,693,67.68,0.728,,Rhomboid family protein
fasta::barcode01.ffn:bc01_00020,-,bc01_00020,-,N,321,61.37,0.807,,hypothetical protein
fasta::barcode01.ffn:bc01_00021,-,bc01_00021,-,N,987,68.79,0.679,,Glyoxylate/hydroxypyruvate reductase B
fasta::barcode01.ffn:bc01_00022,-,bc01_00022,-,N,1488,68.68,0.766,,Peptidase family S41
fasta::barcode01.ffn:bc01_00023,-,bc01_00023,-,N,1290,69.15,0.725,,Murein hydrolase activator EnvC
fasta::barcode01.ffn:bc01_00024,-,bc01_00024,-,N,657,65.6,0.78,,hypothetical protein
fasta::barcode01.ffn:bc01_00025,-,bc01_00025,-,N,1785,68.46,0.795,,Peptidase family M28
fasta::barcode01.ffn:bc01_00026,-,bc01_00026,-,N,447,62.64,0.684,,Peptidase propeptide and YPEB domain protein
fasta::barcode01.ffn:bc01_00027,-,bc01_00027,-,N,1050,60.38,0.636,,Endoglucanase
fasta::barcode01.ffn:bc01_00028,-,bc01_00028,-,N,1053,61.63,0.652,,Endoglucanase
fasta::barcode01.ffn:bc01_00029,-,bc01_00029,-,N,1065,63.38,0.744,,Endoglucanase
fasta::barcode01.ffn:bc01_00030,-,bc01_00030,-,N,1059,64.31,0.789,,Aldehyde reductase YahK
fasta::barcode01.ffn:bc01_00031,-,bc01_00031,-,N,354,54.8,0.394,,hypothetical protein
fasta::barcode01.ffn:bc01_00032,-,bc01_00032,-,N,1482,68.42,0.816,,Glutamate synthase [NADPH] small chain
fasta::barcode01.ffn:bc01_00033,-,bc01_00033,-,N,4473,67.45,0.793,,Glutamate synthase [NADPH] large chain
fasta::barcode01.ffn:bc01_00034,-,bc01_00034,-,N,381,67.45,0.684,,Peptidase inhibitor I78 family protein
fasta::barcode01.ffn:bc01_00035,-,bc01_00035,-,N,1266,67.93,0.7,,Eukaryotic DNA topoisomerase I catalytic core
fasta::barcode01.ffn:bc01_00036,-,bc01_00036,-,N,579,62.69,0.592,,hypothetical protein
fasta::barcode01.ffn:bc01_00037,-,bc01_00037,-,N,711,64.28,0.408,,hypothetical protein
fasta::barcode01.ffn:bc01_00038,-,bc01_00038,-,N,345,70.72,0.812,,hypothetical protein
fasta::barcode01.ffn:bc01_00039,-,bc01_00039,-,N,891,71.27,0.797,,Pirin
fasta::barcode01.ffn:bc01_00040,-,bc01_00040,-,N,270,65.93,0.61,,FMN-dependent NADH-azoreductase
fasta::barcode01.ffn:bc01_00041,-,bc01_00041,-,N,381,69.29,0.752,,FMN-dependent NADH-azoreductase 1
fasta::barcode01.ffn:bc01_00042,-,bc01_00042,-,N,894,67,0.615,,transcriptional regulator PtxR 
fasta::barcode01.ffn:bc01_00043,-,bc01_00043,-,N,306,68.95,0.745,,Antibiotic biosynthesis monooxygenase
fasta::barcode01.ffn:bc01_00044,-,bc01_00044,-,N,678,67.11,0.717,,Protein/nucleic acid deglycase HchA
fasta::barcode01.ffn:bc01_00045,-,bc01_00045,-,N,891,67.9,0.696,,transcriptional regulator PtxR 
fasta::barcode01.ffn:bc01_00046,-,bc01_00046,-,N,402,65.92,0.556,,hypothetical protein
fasta::barcode01.ffn:bc01_00047,-,bc01_00047,-,N,387,65.63,0.674,,Penicillinase repressor
fasta::barcode01.ffn:bc01_00048,-,bc01_00048,-,N,1653,67.39,0.605,,BlaR1 peptidase M56
fasta::barcode01.ffn:bc01_00049,-,bc01_00049,-,N,459,70.37,0.585,,hypothetical protein
fasta::barcode01.ffn:bc01_00050,-,bc01_00050,-,N,873,69.42,0.576,,hypothetical protein
fasta::barcode01.ffn:bc01_00051,-,bc01_00051,-,N,1116,70.52,0.636,,Saccharopine dehydrogenase NADP binding domain protein
fasta::barcode01.ffn:bc01_00052,-,bc01_00052,-,N,786,64.63,0.626,,hypothetical protein
fasta::barcode01.ffn:bc01_00053,-,bc01_00053,-,N,807,67.53,0.696,,RNase_H superfamily protein
fasta::barcode01.ffn:bc01_00054,-,bc01_00054,-,N,162,74.69,0.484,,hypothetical protein
fasta::barcode01.ffn:bc01_00055,-,bc01_00055,-,N,2496,67.11,0.787,,ATP-dependent RNA helicase DbpA
fasta::barcode01.ffn:bc01_00056,-,bc01_00056,-,N,1149,65.54,0.612,,putative protein
fasta::barcode01.ffn:bc01_00057,-,bc01_00057,-,N,663,67.87,0.789,,hypothetical protein
fasta::barcode01.ffn:bc01_00058,-,bc01_00058,-,N,318,60.69,0.533,,hypothetical protein
fasta::barcode01.ffn:bc01_00059,-,bc01_00059,-,N,372,64.25,0.563,,hypothetical protein
fasta::barcode01.ffn:bc01_00060,-,bc01_00060,-,N,138,64.49,0.845,,hypothetical protein
fasta::barcode01.ffn:bc01_00061,-,bc01_00061,-,N,189,68.25,0.624,,hypothetical protein
fasta::barcode01.ffn:bc01_00062,-,bc01_00062,-,N,1227,44.09,0.293,,Lysine-specific metallo-endopeptidase
fasta::barcode01.ffn:bc01_00063,-,bc01_00063,-,N,447,66,0.576,,hypothetical protein
fasta::barcode01.ffn:bc01_00064,-,bc01_00064,-,N,1446,57.33,0.437,,hypothetical protein
fasta::barcode01.ffn:bc01_00065,-,bc01_00065,-,N,666,54.95,0.372,,hypothetical protein
fasta::barcode01.ffn:bc01_00066,-,bc01_00066,-,N,666,55.86,0.422,,hypothetical protein
fasta::barcode01.ffn:bc01_00067,-,bc01_00067,-,N,222,66.67,0.622,,hypothetical protein
fasta::barcode01.ffn:bc01_00068,-,bc01_00068,-,N,1509,58.45,0.5,,hypothetical protein
fasta::barcode01.ffn:bc01_00069,-,bc01_00069,-,N,648,49.38,0.306,,hypothetical protein
fasta::barcode01.ffn:bc01_00070,-,bc01_00070,-,N,192,57.29,0.34,,hypothetical protein
fasta::barcode01.ffn:bc01_00071,-,bc01_00071,-,N,651,50.54,0.343,,hypothetical protein
fasta::barcode01.ffn:bc01_00072,-,bc01_00072,-,N,126,56.35,0.336,,hypothetical protein
fasta::barcode01.ffn:bc01_00073,-,bc01_00073,-,N,1395,60.07,0.508,,Putative D-alanyl-D-alanine carboxypeptidase
fasta::barcode01.ffn:bc01_00074,-,bc01_00074,-,N,180,61.67,0.807,,CsbD-like protein
fasta::barcode01.ffn:bc01_00075,-,bc01_00075,-,N,1539,65.11,0.732,,HTH-type transcriptional regulator MalT
fasta::barcode01.ffn:bc01_00076,-,bc01_00076,-,N,966,71.95,0.754,,hypothetical protein
